,最近一次补货时间,机器编号,补货周期,当前库存,补货前1个小时库存,补货配货差,时间差,补货配货差范围,时间差范围
168,2021-07-02,2910350.0,6.0,48.0,48.0,0.0,17.65500000002794,0-5,10-20
169,2021-07-02,2910386.0,6.0,99.0,99.0,0.0,22.1597222223063,0-5,20-30
170,2021-06-28,37110033.0,9.0,65.0,65.0,0.0,22.82361111114733,0-5,20-30
171,2021-06-30,37110055.0,6.0,51.0,51.0,0.0,23.175833333458286,0-5,20-30
172,2021-07-01,37110072.0,3.0,72.0,72.0,0.0,16.852777777821757,0-5,10-20
173,2021-07-01,37110174.0,6.0,56.0,56.0,0.0,17.734722222201526,0-5,10-20
174,2021-07-01,37110176.0,6.0,50.0,50.0,0.0,17.048611111182254,0-5,10-20
175,2021-06-27,37110180.0,6.0,43.0,43.0,0.0,25.845555555657484,0-5,20-30
176,2021-06-29,37110189.0,6.0,32.0,32.0,0.0,20.610277777828742,0-5,20-30
177,2021-06-27,37110196.0,6.0,50.0,50.0,0.0,23.43111111118924,0-5,20-30
178,2021-06-28,5110123.0,12.0,112.0,112.0,0.0,18.57222222222481,0-5,10-20
179,2021-06-26,51310002.0,7.0,67.0,67.0,0.0,18.973611111170612,0-5,10-20
180,2021-07-01,51310013.0,7.0,52.0,52.0,0.0,22.29305555555038,0-5,20-30
181,2021-07-01,51310014.0,7.0,51.0,51.0,0.0,16.456944444507826,0-5,10-20
182,2021-06-30,53110115.0,12.0,43.0,43.0,0.0,15.363888888910878,0-5,10-20
183,2021-07-01,53110146.0,6.0,98.0,98.0,0.0,13.280277777754236,0-5,10-20
184,2021-06-30,53110189.0,12.0,63.0,63.0,0.0,13.122222222271375,0-5,10-20
185,2021-06-27,53110195.0,6.0,70.0,70.0,0.0,19.024444444512483,0-5,10-20
186,2021-07-02,5321157.0,12.0,50.0,50.0,0.0,18.84527777787298,0-5,10-20
187,2021-06-29,5321181.0,6.0,65.0,65.0,0.0,14.845277777756564,0-5,10-20
188,2021-07-02,5321210.0,12.0,76.0,76.0,0.0,19.396666666783858,0-5,10-20
189,2021-06-27,5321227.0,6.0,53.0,53.0,0.0,18.910000000032596,0-5,10-20
190,2021-06-30,5321235.0,3.0,54.0,54.0,0.0,16.452500000072177,0-5,10-20
191,2021-07-01,5321241.0,9.0,25.0,25.0,0.0,15.730277777882293,0-5,10-20
192,2021-07-02,5321254.0,6.0,84.0,84.0,0.0,14.825277777796146,0-5,10-20
193,2021-07-01,55110130.0,6.0,57.0,57.0,0.0,15.54749999998603,0-5,10-20
194,2021-07-02,55110181.0,6.0,42.0,42.0,0.0,23.960277777921874,0-5,20-30
195,2021-07-02,55110183.0,6.0,64.0,64.0,0.0,13.30722222221084,0-5,10-20
196,2021-06-29,55110200.0,9.0,59.0,59.0,0.0,14.108333333395422,0-5,10-20
197,2021-07-01,55110206.0,6.0,30.0,30.0,0.0,12.96250000008149,0-5,10-20
198,2021-07-01,55110256.0,6.0,86.0,86.0,0.0,13.215277777751908,0-5,10-20
199,2021-07-02,55110268.0,6.0,62.0,62.0,0.0,18.79444444453111,0-5,10-20
200,2021-07-02,55110271.0,6.0,91.0,91.0,0.0,15.603611111117061,0-5,10-20
201,2021-07-02,55110274.0,6.0,88.0,88.0,0.0,12.346388889010996,0-5,10-20
202,2021-07-02,55110280.0,6.0,96.0,96.0,0.0,14.868333333462942,0-5,10-20
203,2021-07-02,55110284.0,6.0,98.0,98.0,0.0,11.863055555673782,0-5,10-20
204,2021-07-02,57110059.0,3.0,40.0,40.0,0.0,19.050833333458286,0-5,10-20
205,2021-06-30,57110165.0,9.0,108.0,108.0,0.0,18.110555555555038,0-5,10-20
206,2021-06-29,57110181.0,6.0,68.0,68.0,0.0,14.406111111107748,0-5,10-20
207,2021-06-29,57110184.0,6.0,76.0,76.0,0.0,15.912500000093132,0-5,10-20
208,2021-07-01,57410031.0,9.0,75.0,75.0,0.0,17.36555555567611,0-5,10-20
209,2021-06-29,57410073.0,12.0,75.0,75.0,0.0,10.563055555627216,0-5,10-20
210,2021-06-30,57410159.0,6.0,68.0,68.0,0.0,13.95583333336981,0-5,10-20
211,2021-06-30,57410160.0,6.0,80.0,80.0,0.0,12.29361111111939,0-5,10-20
212,2021-06-29,57410168.0,9.0,69.0,69.0,0.0,16.571944444498513,0-5,10-20
213,2021-06-28,57410185.0,9.0,54.0,54.0,0.0,159.59555555559928,0-5,80以上
214,2021-06-27,57410196.0,6.0,88.0,88.0,0.0,16.438055555569008,0-5,10-20
215,2021-06-30,57410203.0,6.0,97.0,97.0,0.0,16.226944444526453,0-5,10-20
216,2021-06-30,57410204.0,6.0,84.0,84.0,0.0,18.30999999999767,0-5,10-20
217,2021-06-30,57410206.0,6.0,53.0,53.0,0.0,19.506388888985384,0-5,10-20
218,2021-06-30,57410224.0,6.0,78.0,78.0,0.0,13.627500000118744,0-5,10-20
219,2021-06-28,57410226.0,6.0,68.0,68.0,0.0,13.642777777800802,0-5,10-20
220,2021-07-01,57410235.0,6.0,110.0,110.0,0.0,14.516388888994697,0-5,10-20
221,2021-06-27,57410240.0,6.0,39.0,39.0,0.0,23.687222222273704,0-5,20-30
222,2021-07-01,57410250.0,6.0,62.0,62.0,0.0,11.547222222201526,0-5,10-20
223,2021-07-01,57410251.0,6.0,91.0,91.0,0.0,11.246944444428664,0-5,10-20
224,2021-07-02,57410252.0,6.0,71.0,71.0,0.0,12.710555555589963,0-5,10-20
225,2021-07-02,57410253.0,6.0,65.0,65.0,0.0,160.36888888897374,0-5,80以上
226,2021-07-02,57410254.0,6.0,61.0,61.0,0.0,22.242777777893934,0-5,20-30
227,2021-06-30,59210105.0,9.0,42.0,42.0,0.0,14.25416666676756,0-5,10-20
228,2021-06-26,59210127.0,9.0,78.0,78.0,0.0,17.86249999998836,0-5,10-20
229,2021-07-01,59210176.0,9.0,92.0,92.0,0.0,11.707777777919546,0-5,10-20
230,2021-06-27,59210182.0,9.0,37.0,37.0,0.0,15.549722222203854,0-5,10-20
231,2021-06-30,59210188.0,6.0,53.0,53.0,0.0,12.628611111198552,0-5,10-20
232,2021-06-29,59210192.0,12.0,66.0,66.0,0.0,18.09611111122649,0-5,10-20
233,2021-06-28,59210196.0,6.0,48.0,48.0,0.0,18.260000000009313,0-5,10-20
234,2021-07-01,59210198.0,12.0,47.0,47.0,0.0,17.550555555615574,0-5,10-20
235,2021-07-01,59210200.0,12.0,70.0,70.0,0.0,12.21277777774958,0-5,10-20
236,2021-06-30,59210246.0,9.0,69.0,69.0,0.0,12.631666666769888,0-5,10-20
237,2021-07-01,59210265.0,6.0,57.0,57.0,0.0,10.687777777842712,0-5,10-20
238,2021-07-01,59210266.0,3.0,52.0,52.0,0.0,9.187222222331911,0-5,0-10
239,2021-07-01,59210292.0,6.0,61.0,61.0,0.0,16.17027777788462,0-5,10-20
240,2021-07-01,59210297.0,6.0,59.0,59.0,0.0,15.68888888892252,0-5,10-20
241,2021-07-01,59210309.0,9.0,51.0,51.0,0.0,13.868611111189239,0-5,10-20
242,2021-06-30,59210320.0,9.0,79.0,79.0,0.0,14.356944444472902,0-5,10-20
243,2021-07-01,59210324.0,6.0,88.0,88.0,0.0,8.551388888969086,0-5,0-10
244,2021-07-02,59210328.0,6.0,78.0,78.0,0.0,12.00972222222481,0-5,10-20
245,2021-07-02,59210331.0,6.0,70.0,70.0,0.0,12.341111111221835,0-5,10-20
246,2021-07-01,59210341.0,6.0,63.0,63.0,0.0,16.619166666758247,0-5,10-20
247,2021-06-30,59210343.0,6.0,83.0,83.0,0.0,11.120555555680767,0-5,10-20
248,2021-06-30,59210344.0,6.0,63.0,63.0,0.0,13.675555555557366,0-5,10-20
249,2021-06-30,59210348.0,6.0,63.0,63.0,0.0,13.632500000065193,0-5,10-20
250,2021-06-30,59210349.0,6.0,55.0,55.0,0.0,11.773055555589963,0-5,10-20
251,2021-07-02,59210353.0,6.0,90.0,90.0,0.0,13.377500000002328,0-5,10-20
252,2021-06-28,59210360.0,6.0,84.0,84.0,0.0,13.248611111193895,0-5,10-20
253,2021-07-01,59210374.0,6.0,83.0,83.0,0.0,19.506944444496185,0-5,10-20
254,2021-06-27,59210377.0,6.0,85.0,85.0,0.0,19.080833333311602,0-5,10-20
255,2021-06-30,59210384.0,6.0,62.0,62.0,0.0,18.71444444451481,0-5,10-20
256,2021-06-30,59210387.0,6.0,109.0,109.0,0.0,21.598611111170612,0-5,20-30
257,2021-07-01,59210389.0,6.0,73.0,73.0,0.0,15.003055555571336,0-5,10-20
258,2021-06-30,59210390.0,6.0,82.0,82.0,0.0,15.547777777828742,0-5,10-20
259,2021-06-30,59210392.0,6.0,56.0,56.0,0.0,11.550277777772862,0-5,10-20
260,2021-06-27,59210395.0,6.0,71.0,71.0,0.0,19.391111111151986,0-5,10-20
261,2021-06-29,59210396.0,6.0,94.0,94.0,0.0,11.253888888924848,0-5,10-20
262,2021-06-28,59210399.0,6.0,75.0,75.0,0.0,15.41944444453111,0-5,10-20
263,2021-07-01,59210400.0,6.0,83.0,83.0,0.0,16.41416666668374,0-5,10-20
264,2021-06-28,59210402.0,6.0,55.0,55.0,0.0,16.067500000004657,0-5,10-20
265,2021-07-01,59210407.0,6.0,115.0,115.0,0.0,21.1158333333442,0-5,20-30
266,2021-06-29,73110015.0,9.0,44.0,44.0,0.0,21.103611111233477,0-5,20-30
267,2021-07-02,73110057.0,9.0,52.0,52.0,0.0,21.923055555671453,0-5,20-30
268,2021-06-29,73110066.0,9.0,69.0,69.0,0.0,21.823611111205537,0-5,20-30
269,2021-07-01,73110083.0,12.0,67.0,67.0,0.0,20.60555555555038,0-5,20-30
270,2021-07-02,73110134.0,3.0,39.0,39.0,0.0,20.48277777788462,0-5,20-30
271,2021-06-30,73110136.0,6.0,50.0,50.0,0.0,20.086388888885267,0-5,20-30
272,2021-06-30,73110138.0,6.0,89.0,89.0,0.0,20.359166666690726,0-5,20-30
273,2021-07-01,73110139.0,6.0,50.0,50.0,0.0,20.613333333400078,0-5,20-30
274,2021-07-02,73110141.0,6.0,65.0,65.0,0.0,21.47527777781943,0-5,20-30
275,2021-07-02,7551094.0,6.0,46.0,46.0,0.0,23.142500000016298,0-5,20-30
276,2021-06-30,7551146.0,6.0,64.0,64.0,0.0,20.56361111125443,0-5,20-30
277,2021-06-30,7551276.0,3.0,132.0,132.0,0.0,20.861944444477558,0-5,20-30
278,2021-06-30,7551289.0,6.0,49.0,49.0,0.0,20.05222222226439,0-5,20-30
279,2021-06-30,7551309.0,6.0,82.0,82.0,0.0,21.099999999976717,0-5,20-30
280,2021-07-01,7551328.0,9.0,64.0,64.0,0.0,19.374999999941792,0-5,10-20
281,2021-07-01,7551332.0,6.0,65.0,65.0,0.0,19.78916666668374,0-5,10-20
282,2021-07-01,7551365.0,6.0,77.0,77.0,0.0,17.95388888893649,0-5,10-20
283,2021-07-01,7551368.0,6.0,64.0,64.0,0.0,14.985277777828742,0-5,10-20
284,2021-07-01,7551374.0,6.0,86.0,86.0,0.0,21.502222222276032,0-5,20-30
285,2021-07-02,7551375.0,6.0,94.0,94.0,0.0,10.703888888878282,0-5,10-20
286,2021-06-28,7551376.0,6.0,49.0,49.0,0.0,18.452500000130385,0-5,10-20
287,2021-07-01,7551379.0,6.0,73.0,73.0,0.0,19.39916666666977,0-5,10-20
288,2021-06-29,7551387.0,6.0,82.0,82.0,0.0,23.01638888893649,0-5,20-30
289,2021-06-29,7551394.0,6.0,64.0,64.0,0.0,12.90638888895046,0-5,10-20
290,2021-06-28,7551399.0,6.0,62.0,62.0,0.0,25.141388888878282,0-5,20-30
291,2021-06-29,7551402.0,6.0,63.0,63.0,0.0,24.747500000114087,0-5,20-30
292,2021-06-30,7551416.0,6.0,116.0,116.0,0.0,24.574722222285345,0-5,20-30
293,2021-06-28,7551421.0,6.0,92.0,92.0,0.0,19.784166666737292,0-5,10-20
