,主键,机器编号,销量,销售额,日均销售额,点位日均销量,点位日,件单价,sku动销率,退款率,吐货失败率,缺货率,时间,PCA
200,029103312021-07-04,2910331,105,541.44,77.35,15.0,7,5.16,0.9565,0.0094,0.0094,0.244,2021-07-05 05:09:47,4.217992111868385
201,053210332021-07-04,5321033,105,540.83,77.26,15.0,7,5.15,0.64,0.0,0.0,0.2037,2021-07-05 05:09:47,3.627119943827408
202,029103212021-07-04,2910321,102,540.61,77.23,14.571428571428571,7,5.3,0.8182,0.0,0.0,0.2516,2021-07-05 05:09:47,3.9314438860745655
203,025100212021-07-04,2510021,105,537.4,76.77,15.0,7,5.12,0.6667,0.0094,0.0189,0.063,2021-07-05 05:09:47,3.474281010982087
204,0371100592021-07-04,37110059,120,535.61,76.52,17.142857142857142,7,4.46,0.8182,0.0,0.0,0.1242,2021-07-05 05:09:47,4.167258626176869
205,021111542021-07-04,2111154,32,534.7,76.39,4.571428571428571,7,16.71,0.7857,0.0303,0.0303,0.0412,2021-07-05 05:09:49,2.354919269581839
206,021104762021-07-04,2110476,117,534.23,76.32,16.714285714285715,7,4.57,0.9231,0.0,0.0,0.2193,2021-07-05 05:09:47,4.3839317385588945
207,0513100052021-07-04,51310005,131,533.64,76.23,18.714285714285715,7,4.07,0.75,0.0,0.0,0.1571,2021-07-05 05:09:47,4.31719154548957
208,0551101752021-07-04,55110175,119,532.4,76.06,17.0,7,4.47,0.6389,0.0,0.0,0.161,2021-07-05 05:09:47,3.8479487329527675
209,051101052021-07-04,5110105,135,531.08,75.87,19.285714285714285,7,3.93,0.6897,0.0,0.0,0.1268,2021-07-05 05:09:47,4.2551084781876485
210,020101222021-07-04,2010122,127,529.37,75.62,18.142857142857142,7,4.17,0.6923,0.0,0.0,0.0393,2021-07-05 05:09:47,3.978249091585482
211,075511862021-07-04,7551186,117,528.0,75.43,16.714285714285715,7,4.51,0.8696,0.0,0.0,0.0357,2021-07-05 05:09:47,4.062237323944568
212,021110752021-07-04,2111075,95,527.86,75.41,13.571428571428571,7,5.56,0.5714,0.0,0.0,0.1414,2021-07-05 05:09:47,3.1600899003911134
213,0551101872021-07-04,55110187,131,527.9,75.41,18.714285714285715,7,4.03,0.6667,0.0,0.0,0.119,2021-07-05 05:09:47,4.100563656088661
214,021105802021-07-04,2110580,108,527.08,75.3,15.428571428571429,7,4.88,0.6571,0.027,0.027,0.3238,2021-07-05 05:09:47,3.7222506776261626
215,010105052021-07-04,1010505,114,526.94,75.28,16.285714285714285,7,4.62,0.7391,0.0,0.0,0.1572,2021-07-05 05:09:47,3.8868233196280584
216,010100512021-07-04,1010051,98,525.85,75.12,14.0,7,5.37,0.7436,0.0101,0.0101,0.08,2021-07-05 05:09:47,3.433713417941019
217,010104462021-07-04,1010446,112,523.9,74.84,16.0,7,4.68,0.7143,0.0,0.0,0.1786,2021-07-05 05:09:47,3.8068113776935752
218,021103832021-07-04,2110383,121,522.18,74.6,17.285714285714285,7,4.32,0.6552,0.0,0.0,0.2593,2021-07-05 05:09:47,3.979077165227653
219,028102012021-07-04,2810201,111,521.0,74.43,15.857142857142858,7,4.69,0.7826,0.0,0.0,0.1615,2021-07-05 05:09:47,3.874947901117823
220,023101512021-07-04,2310151,98,519.97,74.28,14.0,7,5.31,0.8889,0.0577,0.0,0.1058,2021-07-05 05:09:47,3.6516079438062055
221,010105432021-07-04,1010543,102,519.41,74.2,14.571428571428571,7,5.09,0.6875,0.0,0.0,0.1379,2021-07-05 05:09:47,3.474694451013098
222,021102962021-07-04,2110296,121,519.29,74.18,17.285714285714285,7,4.29,0.5789,0.0,0.0,0.2045,2021-07-05 05:09:47,3.7698725303872003
223,021105382021-07-04,2110538,123,518.7,74.1,17.571428571428573,7,4.22,0.8,0.0,0.0,0.1323,2021-07-05 05:09:47,4.13104446764271
224,053211552021-07-04,5321155,59,295.91,73.98,14.75,4,5.02,0.7,0.0,0.0,0.449,2021-07-05 05:09:47,2.6320052259814926
225,0592102822021-07-04,59210282,114,516.7,73.81,16.285714285714285,7,4.53,0.7895,0.0087,0.0,0.1929,2021-07-05 05:09:47,3.9568940567415494
226,023101632021-07-04,2310163,112,515.4,73.63,16.0,7,4.6,0.8571,0.0,0.0,0.2474,2021-07-05 05:09:47,4.095911252006675
227,053210552021-07-04,5321055,96,514.9,73.56,13.714285714285714,7,5.36,0.95,0.0,0.0,0.1361,2021-07-05 05:09:47,3.791844794278924
228,025100022021-07-04,2510002,109,513.8,73.4,15.571428571428571,7,4.71,0.6923,0.0,0.0,0.1273,2021-07-05 05:09:47,3.598445313860471
229,021109232021-07-04,2110923,118,512.83,73.26,16.857142857142858,7,4.35,0.5862,0.0,0.0,0.1814,2021-07-05 05:09:47,3.661239868667763
230,010105112021-07-04,1010511,115,510.3,72.9,16.428571428571427,7,4.44,0.7308,0.0,0.0,0.1326,2021-07-05 05:09:47,3.78947965194776
231,0731101522021-07-04,73110152,102,507.3,72.47,14.571428571428571,7,4.97,0.6098,0.0097,0.0097,0.1905,2021-07-05 05:09:49,3.3108903072705687
232,010101992021-07-04,1010199,108,507.13,72.45,15.428571428571429,7,4.7,0.75,0.0,0.0,0.1515,2021-07-05 05:09:47,3.6744532639347423
233,053212352021-07-04,5321235,102,506.7,72.39,14.571428571428571,7,4.97,0.6818,0.0,0.0,0.1544,2021-07-05 05:09:47,3.4218628155524637
234,0731101342021-07-04,73110134,100,504.86,72.12,14.285714285714286,7,5.05,0.8261,0.0,0.0,0.2738,2021-07-05 05:09:47,3.7555891463037763
235,025100342021-07-04,2510034,96,503.9,71.99,13.714285714285714,7,5.25,0.6316,0.0303,0.0101,0.1042,2021-07-05 05:09:47,3.0877108687317847
236,010101352021-07-04,1010135,97,503.8,71.97,13.857142857142858,7,5.19,0.5429,0.0,0.0,0.1591,2021-07-05 05:09:47,3.0553916472070703
237,053212542021-07-04,5321254,106,503.8,71.97,15.142857142857142,7,4.75,0.8,0.0185,0.0185,0.1224,2021-07-05 05:09:47,3.628803634974534
238,023101082021-07-04,2310108,105,503.4,71.91,15.0,7,4.79,0.8276,0.0,0.0,0.2245,2021-07-05 05:09:47,3.8074673365659533
239,0513100142021-07-04,51310014,119,502.56,71.79,17.0,7,4.22,0.75,0.0,0.0084,0.1714,2021-07-05 05:09:49,3.9072758143124746
240,020102672021-07-04,2010267,99,502.43,71.78,14.142857142857142,7,5.08,0.875,0.0,0.0,0.1404,2021-07-05 05:09:47,3.667588771562973
241,021100192021-07-04,2110019,98,502.4,71.77,14.0,7,5.13,0.6098,0.0101,0.0101,0.1948,2021-07-05 05:09:47,3.204591473099626
242,029103382021-07-04,2910338,99,502.17,71.74,14.142857142857142,7,5.07,0.7391,0.0,0.0,0.2679,2021-07-05 05:09:49,3.5587767461296944
243,021111572021-07-04,2111157,99,501.59,71.66,14.142857142857142,7,5.07,0.7188,0.1391,0.0,0.1596,2021-07-05 05:09:49,3.245195538403508
244,029102392021-07-04,2910239,95,501.5,71.64,13.571428571428571,7,5.28,0.84,0.0,0.0,0.1611,2021-07-05 05:09:47,3.5359067627779126
245,075510552021-07-04,7551055,106,501.3,71.61,15.142857142857142,7,4.73,0.6667,0.0,0.0,0.1436,2021-07-05 05:09:47,3.444899454076317
246,010104162021-07-04,1010416,96,499.5,71.36,13.714285714285714,7,5.2,0.7917,0.0,0.0,0.1369,2021-07-05 05:09:47,3.4353718663788917
